Adiós. =	Goodbye.
el autobús =	bus
(Muy) bien, gracias. =	(Very) well, thanks.
Buenas noches. =	Good night.
Buenas tardes. =	Good afternoon.
Buenos días. =	Good morning.
Chau. =	Bye.
la chica =	girl
el chico =	boy
¿Cómo está usted? =	How are you? (form.)
¿Cómo estás? =	How are you? (fam.)
¿Cómo se llama usted? =	What’s your name? (form.)
¿Cómo te llamas? =	What’s your name? (fam.)
la computadora =	computer
la comunidad =	community
Con permiso. =	Pardon me; Excuse me.
el/la conductor(a) =	driver
la conversación =	conversation
la cosa =	thing
el cuaderno =	notebook
¿cuánto(s)/a(s)? =	how much/many?
¿De dónde eres? =	Where are you from? (fam.)
¿De dónde es usted? =	Where are you from? (form.)
De nada. =	You’re welcome.
¿de quién...? =	whose…? (sing.)
¿de quiénes...? =	whose…? (plural)
el día =	day
el diario =	diary
el diccionario =	dictionary
Encantado/a. =	Delighted; Pleased to meet you.
la escuela =	school
el/la estudiante =	student
la foto(grafía) =	photograph
(Muchas) gracias. =	Thank you (very much); Thanks (a lot).
El gusto es mío. =	The pleasure is mine.
Hasta la vista. =	See you later.
Hasta luego. =	See you later.
Hasta mañana. =	See you tomorrow.
Hasta pronto. =	See you soon.
(no) hay =	there is (not); there are (not)
Hola. =	Hello; Hi.
el hombre =	man
Igualmente. =	Likewise.
el/la joven =	young person
el lápiz =	pencil
Le presento a... =	I would like to introduce you to (name). (form.)
la lección =	lesson
Lo siento. =	I’m sorry.
la maleta =	suitcase
la mano =	hand
el mapa =	map
Me llamo... =	My name is…
Mucho gusto. =	Pleased to meet you.
la mujer =	woman
la nacionalidad =	nationality
Nada. =	Nothing.
No hay de qué. =	You’re welcome.
No muy bien. =	Not very well.
el nombre =	name
Nos vemos. =	See you.
el número =	number
el país =	country
la palabra =	word
el/la pasajero/a =	passenger
Perdón. =	Pardon me; Excuse me.
por favor =	please
el problema =	problem
el/la profesor(a) =	teacher
el programa =	program
¿Qué hay de nuevo? =	What’s new?
¿Qué pasa? =	What’s happening?; What’s going on?
¿Qué tal? =	How are you?; How is it going?
Regular. =	So-so; OK.
Saludos a... =	Greetings to…
señor (Sr.); don =	Mr.; sir
señora (Sra.); doña =	Mrs.; ma’am
señorita (Srta.) =	Miss
ser =	to be
Soy de... =	I’m from…
Te presento a... =	I would like to introduce you to (name). (fam.)
el/la turista =	tourist
el video =	video
¿Y tú? =	And you? (fam.)
¿Y usted? =	And you? (form.) 
